text,label
I love this product,positive
This is great,positive
This is terrible,negative
The quality is amazing,positive
I hate it,negative
The service was awful,negative
I can't recommend this, negative
This is the best thing ever, positive
I'm really impressed with it, positive
The worst experience ever, negative
The product is fantastic, positive
I wouldn't buy this again, negative
Great value for money, positive
Don't waste your money, negative
I'm thrilled with my purchase, positive
Avoid this at all costs, negative
I can't stop using it, positive
It's a complete waste of time, negative
This exceeded my expectations, positive
I regret buying this, negative
Highly recommended, positive
I'm extremely disappointed, negative
I'm very satisfied, positive
It's a rip-off, negative
The customer service was excellent, positive
I'm furious, negative
I'm so happy with this, positive
Not worth the price, negative
I can't live without it, positive
This is a letdown, negative
It's the best thing ever, positive
I'm returning this, negative
Absolutely amazing, positive
I'm frustrated, negative
It's perfect, positive
Stay away from this, negative
I'm over the moon, positive
This is garbage, negative
I'm in love with it, positive
I can't stand it, negative
It's incredible, positive
This is a disaster, negative
I'm blown away, positive
I'm deeply disappointed, negative
It's a game-changer, positive
I wouldn't recommend it, negative
I'm obsessed with it, positive
I despise it, negative
I'm thrilled, positive
This is a nightmare, negative
I'm impressed, positive
I'm not impressed, negative
I'm delighted, positive
I'm so let down, negative
It's worth every penny, positive
This is a waste of money, negative
I'm ecstatic, positive
I'm unsatisfied, negative
I'm overjoyed, positive
I'm frustrated with this, negative
I'm completely satisfied, positive
I'm annoyed, negative
I'm loving it, positive
I'm fed up with it, negative
I'm enthusiastic, positive
I'm disgusted, negative
I'm elated, positive
I'm underwhelmed, negative
I'm over the moon with this, positive
I'm not happy with this, negative
I'm pleased, positive
I'm so upset, negative
I'm ecstatic about this, positive
I'm indifferent, negative
I'm on cloud nine, positive
I'm very disappointed, negative
I'm thrilled to bits, positive
I'm unimpressed, negative
I'm content, positive
I'm furious with this, negative
I'm absolutely delighted, positive
I'm uninterested, negative
I'm ecstatic with this, positive
I'm apathetic, negative
I'm on top of the world, positive
I'm unhappy, negative
I'm enthusiastic about this, positive
I'm indifferent, negative
I'm excited, positive
I'm upset, negative
I'm thrilled with this, positive
I'm not satisfied, negative
I'm delighted with this, positive
I'm irritated, negative
I'm ecstatic over this, positive
I'm disinterested, negative
I'm on cloud nine with this, positive
I'm disappointed, negative
I'm thrilled to pieces, positive
I'm unimpressed, negative
I'm happy, positive
I'm angry, negative
I'm overjoyed with this, positive
I'm dissatisfied, negative
I'm elated with this, positive
I'm indifferent, negative
I'm on top of the world with this, positive
I'm let down, negative
I'm excited about this, positive
I'm uninterested, negative
I'm pleased with this, positive
I'm frustrated, negative
I'm ecstatic about this, positive
I'm apathetic, negative
I'm thrilled with this purchase, positive
I'm annoyed, negative
I'm over the moon about this, positive
I'm not happy, negative
